question,gold_pmid,gold_text,gold_title,gold_url
What is the effectiveness of intra-articular injections for knee and hip osteoarthritis?,39265924,"In the main analysis (excluding high-risk-of-bias trials), triamcinolone had the highest probabilities of reaching the MID at weeks 2 and 6 (75.3% and 90%, respectively)... Hyaluronic acid had no effect on pain (SMD:-0.04, 95% CrI,-0.19 to 0.11, 11 trials) but a higher risk of dropouts due to adverse events... CONCLUSION: Triamcinolone had the highest probabilities to have a treatment effect beyond the MID at weeks 2-6.",Effectiveness and safety of intra-articular interventions for knee and hip osteoarthritis based on large randomized trials: A systematic review and network meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/39265924/
Are ENT doctors at high rsik for neck pain and work realted musculoskeletal dissorders?,35575629,"The overall proportion (95% confidence intervals [CI]) of general otolaryngologists reporting WRMD was 0.79 (0.66, 0.88) for any symptoms; 0.54 (0.40, 0.67) for neck symptoms... Objective measures of ergonomic posture indicate moderate to severe risk of injury during the routine clinic and surgical procedures with none found to be low risk.",Ergonomics in Otolaryngology: A Systematic Review and Meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/35575629/
What are the primary outcomes of interest in the planned systematic review assessing neural mobilization for adult musculoskeletal pain?,35271600,"Thus, this document is a planned protocol of a comprehensive systematic review with meta-analysis that we intend to carry out to review the scientific literature regarding up-to-date evidence on the use of neural mobilization in the management of people suffering from musculoskeletal pain disorders... The main outcomes of interest will be pain, functional status, and physical performance tests (muscle strength, flexibility, and balance).","Effectiveness of neural mobilization on pain intensity, disability, and physical performance in adults with musculoskeletal pain-A protocol for a systematic review of randomized and quasi-randomized controlled trials and planned meta-analysis.",https://pubmed.ncbi.nlm.nih.gov/35271600/
Does pulsed electromagnetic field therapy actually help with pain and stiffness if I have knee osteoarthritis?,31583420,"Pulsed electromagnetic field therapy had an effect on improving physical function (weighted mean difference; WMD = -5.28, 95% confidence interval; 95% CI -9.45 to -1.11, p = 0.01), but showed no advantage in the reduction of Western Ontario and McMaster Universities Osteoarthritis Index (WOMAC) total score... WOMAC pain score... or WOMAC stiffness score.","Effects of pulsed electromagnetic field therapy on pain, stiffness and physical function in patients with knee osteoarthritis: A systematic review and meta-analysis of randomized controlled trials.",https://pubmed.ncbi.nlm.nih.gov/31583420/
"Based on recent meta-analyses, what is the overall prevalence of musculoskeletal disorders among bank workers, and which body regions are most frequently affected by prolonged sitting and static postures in this occupational group?",39587527,"The meta-analysis results revealed that 67.84% (95% CI: 61.21-74.47, I2 = 97.4%, P < 0.001) of bank employees suffer from MSDs. These disorders affect various areas of the body with the following prevalence rates in the low back (49.19%), neck (46.11%), upper back (42.08%), shoulder (34.88%), hand (25.40%), hip/thigh (19.29%), knee (17.86%), ankle/foot (16.37%), and elbow (12.53%).",Musculoskeletal disorders among bank workers: a systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/39587527/
What are the most common MSDs in dockworkers?,38607782,"Considering the overall worker categories and any musculoskeletal disorders, the meta-analysis showed a prevalence of 58% (95% Confidence Interval [95% CI] 37% to 78%), with degenerative spinal diseases 42% (95% CI -0.6% to 91%) and low back pain 36% (95% CI 21% to 50%) being the most prevalent conditions.",Work-related musculoskeletal disorders in dockworkers. Systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/38607782/
What is the estimated global prevalence of work-related musculoskeletal disorders affecting the lower back and thumbs among practicing physiotherapists?,37016332,"Based on the random-effects model, the worldwide MSD prevalence in neck... 26.4%... lower back... 40.1%... thumb... 35.4%... Based on the random effects model, the results of the worldwide meta-analysis showed that lower back pain, thumb, neck and shoulder were the area most at risk for MSD and were therefore those to be monitored as a priority.",Global prevalence of musculoskeletal disorders among physiotherapists: a systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/37016332/
Hwo common are musculoskeltal injuries like low back pain in fire fighters?,38485380,"Based on the results of a meta-analysis, the overall prevalence of MSDs among firefighters was 46.39% (95% CI: 32.45-60.32, I(2) = 99.7%, P < 0.001). The prevalence of MSDs was also investigated at neck (18.36%), low back (34.32%), shoulder (18.68%), hands (7.43%), upper back (10.15%), knee (19.97%) and foot (6.66%).",A systematic review and meta-analysis of musculoskeletal disorders among firefighters.,https://pubmed.ncbi.nlm.nih.gov/38485380/
Do taxi drivers get a lot of back pain from driving all day?,39180030,"Based on the results of the meta-analysis, the highest prevalence of MSDs among taxi drivers was related to the lower back region (53.87% (95% CI:40.89-66.84, I(2)(=) 98.7%, P < 0.001)). Additionally, the prevalence rates of MSDs in different body regions, such as the neck (38.15%), shoulder (34.97%), upper back (18.30%), and knee (14.10%), were also reported.",Musculoskeletal disorders among taxi drivers: a systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/39180030/
Acupuncture for De Quervain's tenosynovitis?,38932434,"The Meta-analysis findings indicated that, when compared to topical analgesics, acupuncture demonstrated a significant increase in treatment effectiveness (RR = 1.24; 95% CI = 1.11, 1.39, P = 0.0002) and a notable reduction in VAS pain scores (MD = -1.06; 95% CI = -1.51, -0.61, P < 0.00001). However, no statistically significant difference was observed in conney wrist joint scores.",A systematic review and meta-analysis of acupuncture for De Quervain's tenosynovitis treatment.,https://pubmed.ncbi.nlm.nih.gov/38932434/
"Among surgical interventions for degenerative lumbar spinal stenosis, which procedure demonstrates the greatest efficacy in improving physical function while minimizing adverse events?",39379938,"Compared with laminectomy, endoscopic-assisted laminotomy was associated with fewer adverse events due to any reason (odds ratio: 0.27, 0.09 to 0.86; low-quality evidence). CONCLUSIONS: For adults with degenerative LSS, endoscopic-assisted laminotomy may be the safest and most effective intervention in improving physical function. However, the available data were insufficient to indicate whether the effect was sustainable after 6 months.",Surgical interventions for degenerative lumbar spinal stenosis: a systematic review with network meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/39379938/
Are short dental implants just as good as the long ones if I need a full-arch rehab?,38764386,"Moderate/high certainty/quality evidence demonstrated similar 5-year survival rates for <=6-mm and >=10-mm implants in non-augmented bone and full-mouth rehabilitation in either jaw, and for 6-mm implants in the maxilla instead of sinus lift. ... Marginal bone level and short- and long-term biologic or prosthetic complications were similar.","Short (<=6 mm) compared with >=10-mm dental implants in different clinical scenarios: A systematic review of randomized clinical trials with meta-analysis, trial sequential analysis and quality of evidence grading.",https://pubmed.ncbi.nlm.nih.gov/38764386/
Does age and BMI predict lowr back pain in perioperativ nurses?,33637081,"The highest prevalence of WRMSDs was found for the lower-back (62%; 95% CI 0.54-0.70), followed by knee (47%; 95% CI 0.36-0.59), shoulder (44%; 95% CI 0.37-0.51)... Meta-regression showed that sex, age, and BMI were not significant predictors of low-back disorders (p = 0.69; R(2) = 0).",Prevalence of musculoskeletal disorders among perioperative nurses: a systematic review and META-analysis.,https://pubmed.ncbi.nlm.nih.gov/33637081/
Do digital health interventions and self-management applications provide clinically meaningful reductions in pain intensity for populations suffering from chronic musculoskeletal pain conditions?,36066943,"In moderate-quality evidence, digital health interventions had a small effect on pain (standardized mean difference [SMD] 0.19, 95% CI 0.06-0.32), disability (SMD 0.14, 95% CI 0.03-0.25), quality of life (SMD 0.22, 95% CI 0.07-0.36), emotional functioning (SMD 0.24, 95% CI 0.12-0.35), and self-management (SMD 0.14, 95% CI 0.05-0.24).",Digital Health Interventions for Musculoskeletal Pain Conditions: Systematic Review and Meta-analysis of Randomized Controlled Trials.,https://pubmed.ncbi.nlm.nih.gov/36066943/
Should I do virtual reality prehab before getting my hip replaced?,39666971,"Prehabilitation delivered with advanced technologies proved to be more effective in improving function in candidates for knee or hip replacement... preoperative pain (MD -1.67, 95% CI -2.50 to -0.48; I(2)=0%), risk of fall (MD -2.54, 95% CI -3.62 to -1.46; I(2)=0%), and postoperative stiffness (MD -2.00, 95% CI -2.01 to -1.99; I(2)=87%). No differences were found in pain 1 month after surgery.",Effects of Prehabilitation With Advanced Technologies in Patients With Musculoskeletal Diseases Waiting for Surgery: Systematic Review and Meta-Analysis.,https://pubmed.ncbi.nlm.nih.gov/39666971/
What are the musculoskeletal signs of childhood cancer?,40091047,"The major musculoskeletal manifestations related to childhood malignancies include bone pain, bone swelling, bone tenderness, bone fracture, vertebral collapses, joint effusion and joint tenderness. Manifestations related to these malignancies also include septic arthritis-type symptoms, osteomyelitis-type symptoms, and osteomyelitis.",Musculoskeletal manifestations of childhood malignancies: a systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/40091047/
"Is there any robust evidence from randomized trials indicating that postmenopausal osteoporosis treatments, such as bisphosphonates or romosozumab, significantly increase the risk of major adverse cardiovascular events?",36372197,"Probabilistic ranking found abaloparatide, oral bisphosphonates, teriparatide, and menopausal hormone therapy were less likely to have increased risk of CAEs than placebo, while romosozumab ranked more likely to have increased risk of CAEs than placebo for all outcomes... We did not find pooled direct and indirect evidence that osteoporosis treatments significantly increased the risk of adverse cardiovascular events relative to placebo.",Evidence for the cardiovascular effects of osteoporosis treatments in randomized trials of post-menopausal women: A systematic review and Bayesian network meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/36372197/
Is ther a link betwen chronic joint pain and heart disease?,31591645,"Twenty studies were included in this review. There was high-quality evidence that people with chronic musculoskeletal pain are 1.91 times more likely to report having a cardiovascular disease compared with those without chronic musculoskeletal pain (risk ratio = 1.91, 95% confidence interval = 1.64-2.21).",Co-occurrence of Chronic Musculoskeletal Pain and Cardiovascular Diseases: A Systematic Review with Meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/31591645/
Is working out in the pool better for chronic joint pain than normal exercises on land?,38066577,"The study showed that compared to the no exercise (NE) group, patients in the AE group experienced a remarkable reduction in pain (SMD: -0.64, P < 0.001), a significant increase in physical function (SMD: 0.62, P < 0.001), and a statistically significant improvement in quality of life (SMD: -0.64, P < 0.001). When compared to land-based exercise (LE), AE significantly relieves patients' pain (SMD: -0.35, P = 0.03).",Efficacy of aquatic exercise in chronic musculoskeletal disorders: a systematic review and meta-analysis of randomized controlled trials.,https://pubmed.ncbi.nlm.nih.gov/38066577/
MSD prevalence in dentists?,36505095,"The analysis yielded a pooled estimate of 78.4% (95% CI = 74.8-82)... Conclusions: A high prevalence of MSD was noted among dental healthcare providers, with about seven out of ten having experienced MSD in the past. This emphasizes the need for awareness and adoption of appropriate ergonomic postures",Prevalence of musculoskeletal disorders among dental healthcare providers: A systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/36505095/
What are the primary epidemiological risk factors and the 12-month prevalence rate of work-related musculoskeletal disorders among automobile manufacturing workers in China?,37858206,"The overall 12-month prevalence rate of WMSDs among workers was 53.1% [95% Confidence Interval (CI) = 46.3% to 59.9%]. The lower back/waist was the body region affected most (36.5%, 95%CI = 28.5% to 44.5%). The definition on WMSDs of ""Chinese version"" resulted in a high prevalence of WMSDs. Obesity, high educational level, long job tenure, female, logistic workers, and foundry workers are factors that led to a high prevalence rate of WMSDs",Prevalence of work-related musculoskeletal disorders among workers in the automobile manufacturing industry in China: a systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/37858206/
How does the clinical effectiveness and cost-efficiency of telemedicine interventions compare to traditional face-to-face conventional care for managing musculoskeletal disorders?,38306156,"A substantive body of evidence from meta-analyses found telemedicine to be beneficial or equal in terms of PROMs compared to conventional care (n=57 meta-analyses). Meta-analyses showed no differences between groups in PREMs (n=4), while objectives measures (ie, ""physical function"") were mainly in favor of telemedicine or showed no difference (9/13). All SRs showed notably lower costs for telemedicine compared to in-person visits.",Effectiveness of Telemedicine for Musculoskeletal Disorders: Umbrella Review.,https://pubmed.ncbi.nlm.nih.gov/38306156/
Does the ADAMTS5 gen mutation cause joint degeneration in asians?,30369484,"The meta-analyses results based on seven studies showed that rs226794 in ADAMTS5 gene was not associated with risk of musculoskeletal degenerative diseases (A vs. G: OR 1.07; 95%CI 0.97-1.19; P=0.16). Rs2830585 in ADAMTS5 was significantly associated with musculoskeletal degenerative diseases in only Asians (OR 1.41, 95%CI 1.18-1.68; P=0.0001), but not in Caucasians.",Association of ADAMTS4 and ADAMTS5 polymorphisms with musculoskeletal degenerative diseases: a systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/30369484/
Do EMS workers and paramedics suffer from back pain a lot?,39366277,"The findings revealed that the overall prevalence of MSDs among emergency medical services personnel is 56.52% (95% CI: 35-78.04, I(2) = 99.8%, P < 0.001) and the prevalence in different areas of the body are as follows: the low back (47.38%), upper back (35.15%), neck (31.19%), shoulder (30%), knee (27.07%), hand (20.70%), hip/thigh (19.48%), feet (19.11%), and elbow (17.36%).",Musculoskeletal disorders in emergency medical services personnel: a systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/39366277/
Does calcitonin work for lumbar spinal stenosis?,38436716,"The meta-analysis revealed that CT offered no significant improvement in VAS, walking distance, or ODI in patients with LSS. CONCLUSION: There is no evidence that CT has a benefit in patients with LSS, either alone or in combination with other treatments, or depending on the route of administration, according to the systematic review and meta-analysis of relevant RCTs.",Effects of calcitonin on lumbar spinal stenosis.,https://pubmed.ncbi.nlm.nih.gov/38436716/
Is there substantive clinical evidence supporting the use of Lactobacillus strains or other probiotics for reducing systemic inflammation and managing pain in osteoarthritis?,39064686,"Three studies, with 501 participants, were considered eligible for qualitative synthesis and meta-analysis. A significant reduction in symptoms across all outcomes measured, except stiffness, was evident with Lactobacillus casei Shirota. However, all other probiotics reviewed did not seem to have any effect on the measured outcomes.",The Effect of Probiotics on the Management of Pain and Inflammation in Osteoarthritis: A Systematic Review and Meta-Analysis of Clinical Studies.,https://pubmed.ncbi.nlm.nih.gov/39064686/
"Do individuals suffering from chronic musculoskeletal pain conditions such as fibromyalgia exhibit significantly lower multi-joint strength capacities when compared to healthy, pain-free control cohorts?",36154313,"Only four studies were included in the quantitative synthesis and revealed that only small differences in both chest press (g = -0.34, 95% CI [-0.64, -0.03]) and leg press (g = -0.25, 95% CI [-0.49, -0.02]) existed between adult women with fibromyalgia and active community women. CONCLUSION: There is a paucity of multi-joint strength values in participants with musculoskeletal pain... Adult women with fibromyalgia displayed reduced multi-joint strength values",Do people with musculoskeletal pain differ from healthy cohorts in terms of global measures of strength? A systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/36154313/
Can vision problems and eye disorders cause neck pain and musculoskelatal issues?,31432534,"Based on a qualitative assessment, our systematic review and meta-analysis revealed that all included studies established a relationship between the visual system and musculoskeletal system of the neck. However, the methods for the measurement of the visual system lacked uniformity.",Visual system disorders and musculoskeletal neck complaints: a systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/31432534/
Is doing robotic surgery actually worse for a surgeon's shoulders and hands than regular open surgery?,37510651,"The results showed that WMSD prevalence was significantly higher (unpaired t-test, p < 0.05) for RVAS [robotic- and video-assisted surgery] in the shoulders (WAS: 28.3% vs. RVAS: 41.9%), wrists (WAS: 20.9% vs. RVAS: 31.5%), and thumbs (WAS: 9.9% vs. RVAS: 21.8%). ... A random-effects model revealed that the highest worldwide prevalence was in the neck ... back ... lower back ... and shoulders",Effect of Assisted Surgery on Work-Related Musculoskeletal Disorder Prevalence by Body Area among Surgeons: Systematic Review and Meta-Analysis.,https://pubmed.ncbi.nlm.nih.gov/37510651/
MSD prevalence among school teachers?,39430711,"The results of the meta-analysis revealed that the overall prevalence of MSDs among teachers is 68% (95% CI: 61-75, I(2) = 99.2%, p < 0.001). Furthermore, the prevalence rates of MSDs in different body regions, such as the neck (47%), lower back (47%), shoulder (44%), upper back (37%), knee (35%), ankle (30%), wrist (27%), hip (22%), and elbow (13%), were reported.",Musculoskeletal disorders among teachers: a systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/39430711/
"Considering the ergonomic risk factors associated with their profession, what is the pooled prevalence of work-related musculoskeletal disorders in different body regions among sonographers?",39402577,"According to the results of the meta-analysis, the overall prevalence of MSDs among sonographers was reported as 75.80% (95% CI: 65.37-86.23, I(2) = 99.7%, P < 0.001). Additionally, the prevalence rates of these disorders in the neck (63.73%), shoulder (60.13%), upper back (53.69%), lower back (49.84%), wrist (44.41%), elbow (27.46), hip (24.93%), knee (19.59), and ankle (16.92%) were determined.",Musculoskeletal disorders among sonographers: a systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/39402577/
How effective are interventions based on social cognitive or social learning theories at improving self-efficacy in patients undergoing orthopedic and musculoskeletal rehabilitation?,29308969,"For the 20 studies that contributed to effect size determination, a large overall mean effect size (Cohen's d = 0.98, 95% CI 0.42-1.86) was observed. CONCLUSIONS: Studies that used social cognitive or learning theory principles to improve self-efficacy in patients with orthopedic or musculoskeletal conditions generally displayed moderate to large effect sizes supporting this intervention.",Social cognitive or learning theory use to improve self-efficacy in musculoskeletal rehabilitation: A systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/29308969/
What kind of bone or muscule problems do people get after a kindey transplant?,38720821,"The overall proportion of kidney transplant patients with musculoskeletal disorders was 27.2% (95% CI: 18.4-36.0), with low muscle strength (64.5%; 95% CI: 43.1-81.3) being the most common disorder. ... CONCLUSION: The most common musculoskeletal disorders were low muscle strength, femoral osteopenia, and low muscle mass.",Prevalence of Musculoskeletal and Metabolic Disorders in Kidney Transplant Recipients: A Systematic Review and Meta-Analysis.,https://pubmed.ncbi.nlm.nih.gov/38720821/
"If my kid has super flexible joints, are they going to get scoliosis?",35841409,"Overall, there was no convincing population-based evidence for an association between musculoskeletal hypermobility and AIS, with only two case-control studies by the same authors presenting compelling evidence for an association. Although populations at extremes of hypermobility had a high prevalence of spinal curvature, these studies were at high risk of confounding.",Systematic review of the association between isolated musculoskeletal hypermobility and adolescent idiopathic scoliosis.,https://pubmed.ncbi.nlm.nih.gov/35841409/
Genitourinary anomalies in congenital scoliosis?,37572143,"The incidence of genitourinary anomalies associated with congenital scoliosis was 22.91% (95% CI 13.39-32.43%). The incidence of surgically treated genitourinary anomalies was 13.92% (95% CI 4.54-23.31%). ... The most frequent genitourinary anomalies were: unilateral kidney (111/388); renal ectopia (50/367); obstructive uropathy (30/201), horseshoe kidney (30/313) and undescended testicle (16/180).",Incidence of genitourinary anomalies in congenital scoliosis: systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/37572143/
Do musculoskeletal diseases or injuries significantly alter peripheral joint muscle force control and force steadiness during targeted isometric contractions?,35988532,"14 studies (investigating 694 participants) were included in the meta-analysis. There was a significant effect of musculoskeletal conditions on peripheral joint muscle force coefficient of variation (CV; SMD = 0.19 [95 % CI 0.06, 0.32]), whereby individuals with musculoskeletal conditions exhibited greater CV than controls. ... The greater force CV is indicative of decreased force steadiness","Alterations in peripheral joint muscle force control in adults with musculoskeletal disease, injury, surgery, or arthroplasty: A systematic review and meta-analysis.",https://pubmed.ncbi.nlm.nih.gov/35988532/
Is ibuprofen more effective and safer than other analgesic medications for managing acute musculoskeletal injury pain in pediatric patients presenting to the emergency department?,34190183,"Compared to the control group, change of VAS scores was greater in ibuprofen group at 60 min... The proportion of patients who received adequate analgesia was higher in the ibuprofen group... The incidence of total adverse effects was lower in the ibuprofen group... CONCLUSIONS: Ibuprofen provides a better pain relief with a lower incidence of adverse effects in children with musculoskeletal injuries as compared to other analgesics.",Efficacy and safety of ibuprofen in children with musculoskeletal injuries: A systematic review and meta-analysis of randomized controlled trials.,https://pubmed.ncbi.nlm.nih.gov/34190183/
Can kids with back pain have slipped discs or spine degenration on their MRI?,32355138,"The pooled prevalence in nonathletes without LBP, participants with LBP, and athletes without LBP was respectively 22%, 44%, and 22% for disc degeneration, 1%, 38%, and 13% for herniated discs, 5%, 22%, and 11% for endplate changes, and 0%, 30%, and 6% for pars fractures. CONCLUSION: Disc degeneration, herniated discs, endplate changes, and spondylolysis are the most reported spinal abnormalities on MRI in children in literature. Spinal abnormalities seen in adults are already prevalent in children with LBP",The Prevalence of Abnormalities in the Pediatric Spine on MRI: A Systematic Review and Meta-Analysis.,https://pubmed.ncbi.nlm.nih.gov/32355138/
Occupational musculoskeletal disorders in Iran?,29036866,"The total sample size was 6,090 workers with a mean of 225 samples per study. The upper and lower back had the highest prevalence rate of self-reported WRMSDs with 38.1% (95% CI: 29.9-46.4), and 50% (95% CI: 42.5-57.5), respectively. Also, knee had the highest prevalence among lower extremity disorders with 42.1% prevalence rate (95% CI:35.1-49.1). CONCLUSIONS: A high prevalence of WRMSDs in upper and lower limbs was reported in Iran.",The prevalence of occupational musculoskeletal disorders in Iran: A meta-analysis study.,https://pubmed.ncbi.nlm.nih.gov/29036866/
Do I really need surgery for spinal tuberculosis or are meds enough?,24045167,"The literature search identified two RCTs conducted in the 1970s and 1980s and a Cochrane Database Systematic Review published in 2006. There were no significant between-group differences in kyphosis angle, bony fusion, bone loss or development of neurological deficit. CONCLUSIONS: There is no obvious statistically significant clinical precedence to suggest that routine surgery will improve the prognosis of patients with spinal tuberculosis.",Management of spinal tuberculosis: a systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/24045167/
