pmid,title,abstract,journal,year,mesh_terms,url
36017529,Does Ashwagandha supplementation have a beneficial effect on the management of anxiety and stress? A systematic review and meta-analysis of randomized controlled trials.,"Clinical trial studies revealed conflicting results on the effect of Ashwagandha extract on anxiety and stress. Therefore, we aimed to evaluate the effect of Ashwagandha supplementation on anxiety as well as stress. A systematic search was performed in PubMed/Medline, Scopus, and Google Scholar from inception until December 2021. We included randomized clinical trials (RCTs) that investigate the effect of Ashwagandha extract on anxiety and stress. The overall effect size was pooled by random-effects model and the standardized mean difference (SMD) and 95% confidence interval (CIs) for outcomes were applied. Overall, 12 eligible papers with a total sample size of 1,002 participants and age range between 25 and 48 years were included in the current systematic review and meta-analysis. We found that Ashwagandha supplementation significantly reduced anxiety (SMD: -1.55, 95% CI: -2.37, -0.74; p = .005; I(2)  = 93.8%) and stress level (SMD: -1.75; 95% CI: -2.29, -1.22; p = .005; I(2)  = 83.1%) compared to the placebo. Additionally, the non-linear dose-response analysis indicated a favorable effect of Ashwagandha supplementation on anxiety until 12,000 mg/d and stress at dose of 300-600 mg/d. Finally, we identified that the certainty of the evidence was low for both outcomes. The current systematic review and dose-response meta-analysis of RCTs revealed a beneficial effect in both stress and anxiety following Ashwagandha supplementation. However, further high-quality studies are needed to firmly establish the clinical efficacy of the plant.",Phytotherapy research : PTR,2022,Humans; Adult; Middle Aged; Randomized Controlled Trials as Topic; *Anxiety/drug therapy; Anxiety Disorders; *Withania; Dietary Supplements; Plant Extracts,https://pubmed.ncbi.nlm.nih.gov/36017529/
35984306,Effects of creatine supplementation on memory in healthy individuals: a systematic review and meta-analysis of randomized controlled trials.,"CONTEXT: From an energy perspective, the brain is very metabolically demanding. It is well documented that creatine plays a key role in brain bioenergetics. There is some evidence that creatine supplementation can augment brain creatine stores, which could increase memory. OBJECTIVE: A systematic review and meta-analysis of randomized controlled trials (RCTs) was conducted to determine the effects of creatine supplementation on memory performance in healthy humans. DATA SOURCES: The literature was searched through the PubMed, Web of Science, Cochrane Library, and Scopus databases from inception until September 2021. DATA EXTRACTION: Twenty-three eligible RCTs were initially identified. Ten RCTs examining the effect of creatine supplementation compared with placebo on measures of memory in healthy individuals met the inclusion criteria for systematic review, 8 of which were included in the meta-analysis. DATA ANALYSIS: Overall, creatine supplementation improved measures of memory compared with placebo (standard mean difference [SMD] = 0.29, 95%CI, 0.04-0.53; I2 = 66%; P = 0.02). Subgroup analyses revealed a significant improvement in memory in older adults (66-76 years) (SMD = 0.88; 95%CI, 0.22-1.55; I2 = 83%; P = 0.009) compared with their younger counterparts (11-31 years) (SMD = 0.03; 95%CI, -0.14 to 0.20; I2 = 0%; P = 0.72). Creatine dose ( approximately  2.2-20 g/d), duration of intervention (5 days to 24 weeks), sex, or geographical origin did not influence the findings. CONCLUSION: Creatine supplementation enhanced measures of memory performance in healthy individuals, especially in older adults (66-76 years). SYSTEMATIC REVIEW REGISTRATION: PROSPERO registration no. 42021281027.",Nutrition reviews,2023,Humans; Aged; *Dietary Supplements; *Creatine/pharmacology; Randomized Controlled Trials as Topic; Cognition,https://pubmed.ncbi.nlm.nih.gov/35984306/
40324552,Effects of Collagen Supplements on Skin Aging: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.,"BACKGROUND: Collagen supplements are promoted to help aging skin. However, no meta-analysis of randomized controlled trials (RCTs) has examined their effects by funding source and study quality, which may influence outcomes. METHODS: PubMed, Embase, and Cochrane Library were searched from inception to June 14, 2024. RESULTS: A total of 23 RCTs with 1474 participants were analyzed. In a meta-analysis of all 23 RCTs, collagen supplements significantly improved skin hydration, elasticity, and wrinkles. However, in the subgroup meta-analysis by funding source, studies not receiving funding from pharmaceutical companies revealed no effect of collagen supplements for improving skin hydration, elasticity, and wrinkles, while those receiving funding from pharmaceutical companies did show significant effects. Similarly, high-quality studies revealed no significant effect in all categories, while low-quality studies revealed a significant improvement in elasticity. CONCLUSIONS: There is currently no clinical evidence to support the use of collagen supplements to prevent or treat skin aging.",The American journal of medicine,2025,*Skin Aging/drug effects; Humans; *Collagen/pharmacology/administration & dosage/therapeutic use; Randomized Controlled Trials as Topic; *Dietary Supplements; Elasticity/drug effects,https://pubmed.ncbi.nlm.nih.gov/40324552/
33809274,"Effects of Vitamin B12 Supplementation on Cognitive Function, Depressive Symptoms, and Fatigue: A Systematic Review, Meta-Analysis, and Meta-Regression.","Vitamin B12 is often used to improve cognitive function, depressive symptoms, and fatigue. In most cases, such complaints are not associated with overt vitamin B12 deficiency or advanced neurological disorders and the effectiveness of vitamin B12 supplementation in such cases is uncertain. The aim of this systematic review and meta-analysis of randomized controlled trials (RCTs) is to assess the effects of vitamin B12 alone (B12 alone), in addition to vitamin B12 and folic acid with or without vitamin B6 (B complex) on cognitive function, depressive symptoms, and idiopathic fatigue in patients without advanced neurological disorders or overt vitamin B12 deficiency. Medline, Embase, PsycInfo, Cochrane Library, and Scopus were searched. A total of 16 RCTs with 6276 participants were included. Regarding cognitive function outcomes, we found no evidence for an effect of B12 alone or B complex supplementation on any subdomain of cognitive function outcomes. Further, meta-regression showed no significant associations of treatment effects with any of the potential predictors. We also found no overall effect of vitamin supplementation on measures of depression. Further, only one study reported effects on idiopathic fatigue, and therefore, no analysis was possible. Vitamin B12 supplementation is likely ineffective for improving cognitive function and depressive symptoms in patients without advanced neurological disorders.",Nutrients,2021,Cognition/*drug effects; Depression/*drug therapy; *Dietary Supplements; Fatigue/*drug therapy; Humans; Vitamin B 12/*therapeutic use; Vitamins/*therapeutic use,https://pubmed.ncbi.nlm.nih.gov/33809274/
36142319,A 2022 Systematic Review and Meta-Analysis of Enriched Therapeutic Diets and Nutraceuticals in Canine and Feline Osteoarthritis.,"With osteoarthritis being the most common degenerative disease in pet animals, a very broad panel of natural health products is available on the market for its management. The aim of this systematic review and meta-analysis, registered on PROSPERO (CRD42021279368), was to test for the evidence of clinical analgesia efficacy of fortified foods and nutraceuticals administered in dogs and cats affected by osteoarthritis. In four electronic bibliographic databases, 1578 publications were retrieved plus 20 additional publications from internal sources. Fifty-seven articles were included, comprising 72 trials divided into nine different categories of natural health compound. The efficacy assessment, associated to the level of quality of each trial, presented an evident clinical analgesic efficacy for omega-3-enriched diets, omega-3 supplements and cannabidiol (to a lesser degree). Our analyses showed a weak efficacy of collagen and a very marked non-effect of chondroitin-glucosamine nutraceuticals, which leads us to recommend that the latter products should no longer be recommended for pain management in canine and feline osteoarthritis.",International journal of molecular sciences,2022,Animals; *Biological Products/therapeutic use; *Cannabidiol/therapeutic use; *Cat Diseases; Cats; Chondroitin/therapeutic use; Collagen/therapeutic use; Dietary Supplements; *Dog Diseases/drug therapy; Dogs; Glucosamine/therapeutic use; *Osteoarthritis/drug therapy/veterinary,https://pubmed.ncbi.nlm.nih.gov/36142319/
33779525,Effect of Vitamin B2 supplementation on migraine prophylaxis: a systematic review and meta-analysis.,"OBJECTIVE: Migraine is a common disease worldwide and migraine prevention is primarily currently based on pharmaceuticals. The mechanism of Vitamin B2 may positively contribute to migraine. This systematic review and meta-analysis aimed to evaluate the impact of Vitamin B2 supplementation on the days, duration, frequency, and pain score of the migraine attack. METHODS: : The PRISMA guideline was used for the studying process. Five electronic databases, PubMed, Embase, Cochrane, CINAHL, and CEPS were searched from 1990 to March 2019. The search terms were Vitamin B2, migraine, and prophylactic. A meta-analysis was performed using Comprehensive Meta-Analysis (CMA) version. RESULTS: : Nine articles were included in systemic review and finally meta-analysis. Eight randomized controlled trials and one controlled clinical trial with 673 subjects were analyzed using meta-analysis. Vitamin B2 supplementation significantly decreased migraine days (p = .005, I(2) = 89%), duration (p = .003, I(2) = 0), frequency (p = .001, I(2) = 65%), and pain score (p = .015, I(2) = 84%). CONCLUSIONS: A pooled analysis of available randomized controlled clinical trials demonstrated that Vitamin B2 400 mg/day for three months supplementation had significant effect on days, duration, frequency, and pain score of migraine attacks.",Nutritional neuroscience,2022,Dietary Supplements; Humans; *Migraine Disorders/drug therapy/prevention & control; Pain; Randomized Controlled Trials as Topic; *Riboflavin/therapeutic use,https://pubmed.ncbi.nlm.nih.gov/33779525/
20458757,Systematic review and meta-analysis of Saccharomyces boulardii in adult patients.,"This article reviews the evidence for efficacy and safety of Saccharomyces boulardii (S. boulardii) for various disease indications in adults based on the peer-reviewed, randomized clinical trials and pre-clinical studies from the published medical literature (Medline, Clinical Trial websites and meeting abstracts) between 1976 and 2009. For meta-analysis, only randomized, blinded controlled trials unrestricted by language were included. Pre-clinical studies, volunteer studies and uncontrolled studies were excluded from the review of efficacy and meta-analysis, but included in the systematic review. Of 31 randomized, placebo-controlled treatment arms in 27 trials (encompassing 5029 study patients), S. boulardii was found to be significantly efficacious and safe in 84% of those treatment arms. A meta-analysis found a significant therapeutic efficacy for S. boulardii in the prevention of antibiotic-associated diarrhea (AAD) (RR = 0.47, 95% CI: 0.35-0.63, P < 0.001). In adults, S. boulardii can be strongly recommended for the prevention of AAD and the traveler's diarrhea. Randomized trials also support the use of this yeast probiotic for prevention of enteral nutrition-related diarrhea and reduction of Helicobacter pylori treatment-related symptoms. S. boulardii shows promise for the prevention of C. difficile disease recurrences; treatment of irritable bowel syndrome, acute adult diarrhea, Crohn's disease, giardiasis, human immunodeficiency virus-related diarrhea; but more supporting evidence is recommended for these indications. The use of S. boulardii as a therapeutic probiotic is evidence-based for both efficacy and safety for several types of diarrhea.",World journal of gastroenterology,2010,Adult; Anti-Bacterial Agents/adverse effects; Contraindications; Diarrhea/etiology/prevention & control; Enteral Nutrition/adverse effects; Evidence-Based Medicine; Humans; Intestinal Diseases/etiology/prevention & control; Intestines/microbiology; Practice Guidelines as Topic; Probiotics/adverse effects/*therapeutic use; *Saccharomyces/classification; Travel; Treatment Outcome,https://pubmed.ncbi.nlm.nih.gov/20458757/
36877404,Effects of Creatine Monohydrate on Endurance Performance in a Trained Population: A Systematic Review and Meta-analysis.,"BACKGROUND: There is robust evidence that creatine monohydrate supplementation can enhance short-term high-intensity exercise in athletes. However, the effect of creatine monohydrate supplementation on aerobic performance and its role during aerobic activities is still controversial. OBJECTIVE: The purpose of this systematic review and meta-analysis was to evaluate the supplementation effects of creatine monohydrate on endurance performance in a trained population. METHODS: The search strategy in this systematic review and meta-analysis was designed following Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines, and PubMed/MEDLINE, Web of Science, and Scopus databases were explored from inception until 19 May, 2022. Only human experimental trials, controlled with a placebo group, evaluating the effects of creatine monohydrate supplementation on endurance performance in a trained population were analyzed in this systematic review and meta-analysis. The methodological quality of included studies was evaluated using the Physiotherapy Evidence Database (PEDro) scale. RESULTS: A total of 13 studies satisfied all the eligibility criteria and were included in this systematic review and meta-analysis. The results for the pooled meta-analysis showed a non-significant change in endurance performance after creatine monohydrate supplementation in a trained population (p = 0.47), with a trivial negative effect (pooled standardized mean difference =  - 0.07 [95% confidence interval - 0.32 to 0.18]; I(2) = 34.75%). Further, after excluding the studies not evenly distributed around the base of the funnel plot, the results were similar (pooled standardized mean difference =  - 0.07 [95% confidence interval - 0.27 to 0.13]; I(2) = 0%; p = 0.49). CONCLUSIONS: Creatine monohydrate supplementation was shown to be ineffective on endurance performance in a trained population. CLINICAL TRIAL REGISTRATION: The study protocol was registered in the Prospective Register of Systematic Review (PROSPERO) with the following registration number: CRD42022327368.","Sports medicine (Auckland, N.Z.)",2023,Humans; *Creatine/pharmacology; *Exercise; Athletes; Nutritional Status; Dietary Supplements,https://pubmed.ncbi.nlm.nih.gov/36877404/
39358652,Effect of Dietary Interventions on Endometriosis: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.,"This study aimed to systematically review existing randomized clinical trials on the effect of dietary interventions on endometriosis. A search was performed on the Cochrane Central Register of Controlled Trials (CENTRAL), Cumulative Index to Nursing and Allied Health Literature (CINAHL), Clinical Trials, EMBASE, PubMed, Lilacs, and Cielo databases. The search terms were used: ""endometriosis"", ""endometrioma"", ""diet"", ""supplements"" and ""nutrition"". Electronic literature searches through databases yielded 866 publications. Two authors performed The study selection independently (and blinded), and disagreements were discussed. Eleven RCTs were included in the systematic review, with 716 women randomized. Most studies reported a positive effect on endometriosis pain scores; however, they were characterized by moderate or high-risk bias. Of these, six RCTs, including 457 women with endometriosis, were included in the meta-analysis. Compared with Placebo, antioxidant use was associated with a reduction in dysmenorrhea (mean difference - 1.95 [CI 95%, -3.78 to -0.13]. Supplementation was not significant for reducing chronic pelvic pain (mean difference - 2.22 [95% CI, -4.99 to 0.55] and dyspareunia (MD - 2.56 [95% CI, - 5. 22 to 0.10]. Both analyses showed a high degree of heterogeneity. Moreover, studies with low risk of bias did not show significant results compared to those on Placebo. The effects of nutrient compounds seem to have the potential to reduce pain in women with endometriosis, mainly to reduce dysmenorrhea. However, the available studies present high heterogeneity and moderate/high risk of bias. More randomized clinical trials are needed to accurately determine dietary interventions' short- and long-term efficacy and safety in managing endometriosis pain.","Reproductive sciences (Thousand Oaks, Calif.)",2024,*Endometriosis/diet therapy; Humans; Female; *Randomized Controlled Trials as Topic; Dietary Supplements; Dysmenorrhea/diet therapy/therapy; Diet; Treatment Outcome; Pelvic Pain/diet therapy/therapy; Antioxidants/administration & dosage,https://pubmed.ncbi.nlm.nih.gov/39358652/
39421966,Vitamin D supplementation decrease asthma exacerbations in children: a systematic review and meta-analysis of randomized controlled trials.,"BACKGROUND: Observational studies have linked low vitamin D (VD) levels to increased asthma attacks in children. Subsequent meta-analyses of adults and children revealed that VD treatment might benefit asthmatic patients by reducing the incidence of exacerbations. Therefore, this review aims to analyze the effects of VD supplementation in reducing asthma exacerbations in children. METHODS: Published reports from PubMed, Cochrane, and Google Scholar were systematically searched until April 2023. The study protocol was registered in the PROSPERO database CRD42023411796. Randomized controlled trial studies were included in this review. Meta-analysis was performed using Cochrane RevMan 5.1 and presented with 95% confidence intervals (CIs). RESULTS: Ten relevant studies enrolled 1243 asthmatic children (631 children receiving vitamin D3 supplementation, 612 children receiving placebo) were included in this review. Our pooled analysis found that VD supplementation had a significant effect on lowering the total number of asthma exacerbations (RR 0.62; 95% CI: 0.44, 0.87; p = 0.01). Subgroup analysis revealed that a daily dose of VD given based on standard daily dose recommendation had a significant improvement on asthma exacerbations [(RR 0.41; 95% CI: 0,18, 0,92; p = 0.03). CONCLUSIONS: Vitamin D supplementation can lower the occurrence of exacerbations in children with asthma, along with the improvement of FEV1.",Annals of medicine,2024,Child; Humans; *Asthma/diagnosis/diet therapy; *Cholecalciferol/administration & dosage; *Dietary Supplements; Disease Progression; Randomized Controlled Trials as Topic,https://pubmed.ncbi.nlm.nih.gov/39421966/
